,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
8355,8399,2020-06-30 03:00:00,7.8,서남서,239.0,19.36,22.79
8356,8400,2020-06-30 03:30:00,6.1,남,175.0,19.41,23.02
8357,8401,2020-06-30 04:00:00,12.1,남남동,158.0,19.43,22.83
8358,8402,2020-06-30 04:30:00,15.8,남동,125.0,19.43,23.03
8359,8403,2020-06-30 05:00:00,22.3,동,95.0,19.37,23.38
8360,8404,2020-06-30 05:30:00,35.9,동,88.0,19.44,22.77
8361,8405,2020-06-30 06:00:00,43.8,동,83.0,19.31,22.62
8362,8406,2020-06-30 06:30:00,49.8,동,84.0,19.4,23.05
8363,8407,2020-06-30 07:00:00,49.1,동북동,76.0,19.21,22.58
8364,8408,2020-06-30 07:30:00,42.1,동북동,69.0,19.0,22.29
8365,8409,2020-06-30 08:00:00,53.0,동북동,70.0,18.98,22.34
8366,8410,2020-06-30 08:30:00,52.0,동북동,67.0,18.9,22.26
8367,8411,2020-06-30 09:00:00,45.5,동북동,59.0,18.86,22.31
8368,8412,2020-06-30 09:30:00,35.5,동북동,63.0,18.82,22.24
8369,8413,2020-06-30 10:00:00,26.0,동북동,57.0,18.74,21.99
8370,8414,2020-06-30 10:30:00,17.3,동북동,71.0,18.75,21.98
8371,8415,2020-06-30 11:00:00,7.4,북북동,25.0,18.73,20.46
8372,8416,2020-06-30 11:30:00,6.6,북서,307.0,18.74,20.31
8373,8417,2020-06-30 12:00:00,5.5,서북서,283.0,18.77,20.34
8374,8418,2020-06-30 12:30:00,14.4,서남서,246.0,18.81,21.05
8375,8419,2020-06-30 13:00:00,24.4,서남서,240.0,18.87,21.27
8376,8420,2020-06-30 13:30:00,32.6,서남서,242.0,18.93,21.22
8377,8421,2020-06-30 14:00:00,32.2,서남서,242.0,19.0,21.25
8378,8422,2020-06-30 14:30:00,28.8,남서,232.0,19.02,21.69
8379,8423,2020-06-30 15:00:00,35.0,남서,227.0,19.07,22.37
8380,8424,2020-06-30 15:30:00,31.5,남서,220.0,19.07,21.99
8381,8425,2020-06-30 16:00:00,32.4,남남서,213.0,19.11,22.43
8382,8426,2020-06-30 16:30:00,29.7,남남서,211.0,19.14,22.12
8383,8427,2020-06-30 17:00:00,25.8,남남서,205.0,19.21,22.17
8384,8428,2020-06-30 17:30:00,23.3,남남서,191.0,19.2,22.13
8385,8429,2020-06-30 18:00:00,19.7,남남동,158.0,19.22,22.48
8386,8430,2020-06-30 18:30:00,26.8,남동,131.0,19.21,22.73
8387,8431,2020-06-30 19:00:00,27.1,동남동,119.0,19.17,22.59
8388,8432,2020-06-30 19:30:00,30.3,동,89.0,19.13,22.39
8389,8433,2020-06-30 20:00:00,35.3,동,92.0,19.07,22.46
8390,8434,2020-06-30 20:30:00,38.3,동,92.0,18.99,22.47
8391,8435,2020-06-30 21:00:00,21.1,동,97.0,18.89,22.45
8392,8436,2020-06-30 21:30:00,22.9,동,80.0,18.7,22.75
8393,8437,2020-06-30 22:00:00,12.7,동북동,57.0,18.82,22.62
8394,8438,2020-06-30 22:30:00,24.4,북북동,31.0,18.84,22.4
8395,8439,2020-06-30 23:00:00,12.8,북북동,17.0,18.83,22.58
8396,8440,2020-06-30 23:30:00,18.3,북,351.0,18.82,22.92
8397,8441,2020-07-01 00:00:00,11.1,북서,317.0,18.78,22.63
8398,8442,2020-07-01 00:30:00,20.0,서북서,299.0,18.74,22.86
8399,8443,2020-07-01 01:00:00,25.5,서북서,294.0,18.74,23.06
8400,8444,2020-07-01 01:30:00,33.7,서,269.0,18.85,22.99
8401,8445,2020-07-01 02:00:00,37.8,서,270.0,18.94,22.95
8402,8446,2020-07-01 02:30:00,42.4,서남서,255.0,18.97,22.63
8403,8447,2020-07-01 03:00:00,43.1,서남서,251.0,18.98,22.79
8404,8448,2020-07-01 03:30:00,54.2,서남서,245.0,19.37,22.42
8405,8449,2020-07-01 04:00:00,51.5,서남서,241.0,19.46,22.44
8406,8450,2020-07-01 04:30:00,49.1,서남서,237.0,19.53,22.8
8407,8451,2020-07-01 05:00:00,41.7,남서,233.0,19.54,22.65
8408,8452,2020-07-01 05:30:00,36.9,남서,227.0,19.62,22.6
8409,8453,2020-07-01 06:00:00,21.7,남서,221.0,19.65,22.18
8410,8454,2020-07-01 06:30:00,8.8,남,182.0,19.65,22.15
8411,8455,2020-07-01 07:00:00,11.4,동남동,123.0,19.64,22.23
8412,8456,2020-07-01 07:30:00,20.1,동,87.0,19.6,22.09
8413,8457,2020-07-01 08:00:00,27.2,동북동,76.0,19.6,22.21
8414,8458,2020-07-01 08:30:00,29.3,동북동,76.0,19.61,22.14
8415,8459,2020-07-01 09:00:00,28.7,동북동,65.0,19.6,21.93
8416,8460,2020-07-01 09:30:00,31.8,북동,52.0,19.65,22.36
8417,8461,2020-07-01 10:00:00,31.9,북동,41.0,19.73,22.27
8418,8462,2020-07-01 10:30:00,33.3,북북동,15.0,19.81,22.13
8419,8463,2020-07-01 11:00:00,30.4,북북동,13.0,19.84,22.02
8420,8464,2020-07-01 11:30:00,33.7,북,357.0,19.97,22.08
8421,8465,2020-07-01 12:00:00,37.8,북북서,348.0,19.87,22.16
8422,8466,2020-07-01 12:30:00,39.0,북북서,336.0,19.97,22.36
8423,8467,2020-07-01 13:00:00,37.2,북서,315.0,20.16,22.01
8424,8468,2020-07-01 13:30:00,37.6,북서,321.0,20.03,22.37
8425,8469,2020-07-01 14:00:00,30.2,북서,307.0,19.99,22.43
8426,8470,2020-07-01 14:30:00,34.5,서,280.0,20.27,22.59
8427,8471,2020-07-01 15:00:00,35.7,서,261.0,20.09,22.27
8428,8472,2020-07-01 15:30:00,36.5,서남서,246.0,19.86,22.42
8429,8473,2020-07-01 16:00:00,37.9,남서,235.0,20.44,22.49
8430,8474,2020-07-01 16:30:00,45.2,남서,236.0,19.98,22.52
8431,8475,2020-07-01 17:00:00,40.6,남서,227.0,20.83,22.34
8432,8476,2020-07-01 17:30:00,37.3,남서,223.0,20.54,22.44
8433,8477,2020-07-01 18:00:00,26.1,남남서,211.0,20.72,22.59
8434,8478,2020-07-01 18:30:00,19.7,남,182.0,20.71,22.24
8435,8479,2020-07-01 19:00:00,24.7,동남동,121.0,20.84,22.62
8436,8480,2020-07-01 19:30:00,37.3,동남동,107.0,20.99,22.63
8437,8481,2020-07-01 20:00:00,45.0,동,99.0,20.86,23.1
8438,8482,2020-07-01 20:30:00,49.9,동,90.0,20.66,22.8
8439,8483,2020-07-01 21:00:00,50.9,동,86.0,20.29,22.79
8440,8484,2020-07-01 21:30:00,43.3,동북동,74.0,19.78,22.35
8441,8485,2020-07-01 22:00:00,39.5,동북동,56.0,19.61,22.25
8442,8486,2020-07-01 22:30:00,56.5,북동,47.0,20.34,22.04
8443,8487,2020-07-01 23:00:00,56.3,북동,41.0,19.97,22.91
8444,8488,2020-07-01 23:30:00,48.0,북동,38.0,19.48,23.1
8445,8489,2020-07-02 00:00:00,46.3,북북동,21.0,18.83,23.09
8446,8490,2020-07-02 00:30:00,44.2,북북동,32.0,18.8,22.94
8447,8491,2020-07-02 01:00:00,30.8,북북동,20.0,18.82,23.0
8448,8492,2020-07-02 01:30:00,25.3,북,5.0,18.87,22.88
8449,8493,2020-07-02 02:00:00,23.7,북북서,333.0,19.08,22.73
